2025-03-02 21:26:35,010 - INFO - KNN training script started
A new study created in memory with name: no-name-3f5a3f5c-857c-4270-b871-4d5af5627a6a
2025-03-02 21:26:35,134 - INFO - Starting Optuna hyperparameter optimization
Trial 134 finished with value: 4.421996694221194 and parameters: {'n_neighbors': 34, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 135 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 136 finished with value: 4.106689832231494 and parameters: {'n_neighbors': 11, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 137 finished with value: 4.307030952488335 and parameters: {'n_neighbors': 26, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 138 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 139 finished with value: 4.063559502847855 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 140 finished with value: 4.038040325121828 and parameters: {'n_neighbors': 5, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 141 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 142 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 143 finished with value: 4.093335205663349 and parameters: {'n_neighbors': 10, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 144 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 145 finished with value: 4.038040325121828 and parameters: {'n_neighbors': 5, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 146 finished with value: 4.091738125079393 and parameters: {'n_neighbors': 9, 'weights': 'uniform', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 147 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 148 finished with value: 4.042099669057938 and parameters: {'n_neighbors': 4, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 149 finished with value: 4.093335205663349 and parameters: {'n_neighbors': 10, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 150 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 151 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 152 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 153 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 154 finished with value: 4.038040325121828 and parameters: {'n_neighbors': 5, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 155 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 156 finished with value: 4.063559502847855 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 157 finished with value: 4.042099669057938 and parameters: {'n_neighbors': 4, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 158 finished with value: 4.093335205663349 and parameters: {'n_neighbors': 10, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 159 finished with value: 4.446505571634438 and parameters: {'n_neighbors': 29, 'weights': 'distance', 'p': 1}. Best is trial 13 with value: 4.032820318148131.
Trial 160 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 161 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 162 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 163 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 164 finished with value: 4.05531801243226 and parameters: {'n_neighbors': 8, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 165 finished with value: 4.038040325121828 and parameters: {'n_neighbors': 5, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 166 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 167 finished with value: 4.063559502847855 and parameters: {'n_neighbors': 9, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 168 finished with value: 4.068613925275647 and parameters: {'n_neighbors': 3, 'weights': 'uniform', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 169 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 170 finished with value: 4.042099669057938 and parameters: {'n_neighbors': 4, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 171 finished with value: 4.032820318148131 and parameters: {'n_neighbors': 7, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
Trial 172 finished with value: 4.045197917784456 and parameters: {'n_neighbors': 6, 'weights': 'distance', 'p': 2}. Best is trial 13 with value: 4.032820318148131.
